,Race_Name,Category,Number_stages
0,Tour Down Under 2014 ,2.WT,6
1,Paris - Nice 2014 ,2.WT,8
2,Tirreno-Adriatico 2014 ,2.WT,7
3,Milano-Sanremo 2014 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2014 ,2.WT,7
5,E3 Harelbeke 2014 ,1.WT.B,1
6,Gent-Wevelgem In Flanders Fields 2014 ,1.WT.B,1
7,Ronde van Vlaanderen / Tour des Flandres 2014 ,1.WT.A,1
8,Vuelta Ciclista al Pais Vasco 2014 ,2.WT,6
9,Paris - Roubaix 2014 ,1.WT.A,1
10,Amstel Gold Race 2014 ,1.WT.B,1
11,La Flèche Wallonne 2014 ,1.WT.B,1
12,Liège - Bastogne - Liège 2014 ,1.WT.A,1
13,Tour de Romandie 2014 ,2.WT,6
14,Giro d'Italia 2014 ,GT.B,21
15,Critérium du Dauphiné 2014 ,2.WT,8
16,Tour de Suisse 2014 ,2.WT,9
17,Tour de France 2014 ,GT.A,21
18,Clasica Ciclista San Sebastian 2014 ,1.WT.B,1
19,Tour de Pologne 2014 ,1.WT.B,7
20,Eneco Tour 2014 ,2.WT,7
21,Vuelta a España 2014 ,GT.B,21
22,Vattenfall Cyclassics 2014 ,1.WT.B,1
23,GP Ouest France - Plouay 2014 ,1.WT.B,1
24,Grand Prix Cycliste de Québec 2014 ,1.WT.B,1
25,Grand Prix Cycliste de Montréal 2014 ,1.WT.B,1
26,Il Lombardia 2014 ,1.WT.A,1
27,Tour of Beijing 2014 ,2.WT,5
28,World Championships - TTT 2014 ,Worlds.TTT,1
29,World Championships WE - TTT 2014 ,-,1
30,World Championships U23 - ITT 2014 ,UCI.WO.u23.TT,1
31,World Championships MJ - ITT 2014 ,J-WC.TT,1
32,World Championships WE - ITT 2014 ,F-WC.TT,1
33,World Championships - ITT 2014 ,-,1
34,World Championships U23 - Road Race 2014 ,Nationals.C1,1
35,World Championships WJ - Road Race 2014 ,-,1
36,World Championships MJ - Road Race 2014 ,J-WC,1
37,World Championships - Road Race 2014 ,Worlds.RR,1
38,La Tropicale Amissa Bongo 2014 ,2.1,7
39,National Championships South Africa - ITT 2014 ,Nationals.C3.TT,1
40,National Championships South Africa - Road Race 2014 ,Nationals.C3,1
41,Les Challenges de la Marche Verte - GP Sakia El Hamra 2014 ,1.2,1
42,National Championships Namibia - ITT 2014 ,Nationals.C3.TT,1
43,Les Challenges de la Marche Verte - GP Oued Eddahab 2014 ,1.2,1
44,National Championships Namibia - Road Race 2014 ,Nationals.C3,1
45,Les Challenges de la Marche Verte - GP Al Massira 2014 ,1.2,1
46,Criterium International de Blida 2014 ,1.2,1
47,Tour du Cameroun 2014 ,2.2/U23,8
48,Tour d\'Algérie 2014 ,2.2/U23,5
49,Grand Prix d\'Oran 2014 ,1.2,1
50,Tour International de Blida 2014 ,2.2/U23,3
51,Tour International de Setif 2014 ,2.2/U23,3
52,Criterium International de Setif 2014 ,1.2,1
53,Tour International de Constantine 2014 ,2.2/U23,4
54,Circuit International d\'Alger 2014 ,1.2,1
55,Criterium International de Blida 2014 ,1.2,1
56,Tour du Maroc 2014 ,2.2/U23,10
57,Mzansi Tour 2014 ,2.2/U23,5
58,Challenge du Prince - Trophée Princier 2014 ,1.2,1
59,Challenge du Prince - Trophée de l\'Anniversaire 2014 ,1.2,1
60,Challenge du Prince - Trophée de la Maison Royale 2014 ,1.2,1
61,National Championships Eritrea - ITT 2014 ,Nationals.C3.TT,1
62,National Championships Eritrea - Road Race 2014 ,Nationals.C3,1
63,National Championships Benin - Road Race 2014 ,-,1
64,National Championships Ivory Coast - Road Race 2014 ,-,1
65,National Championships Tunisia - ITT 2014 ,Nationals.C3.TT,1
66,National Championships Algeria - ITT 2014 ,Nationals.C3.TT,1
67,National Championships Algeria - Road Race 2014 ,Nationals.C3,1
68,National Championships Morocco - ITT 2014 ,Nationals.C3.TT,1
69,National Championships Mauritius - ITT 2014 ,-,1
70,National Championships Morocco - Road Race 2014 ,Nationals.C3,1
71,National Championships Tunisia - Road Race 2014 ,Nationals.C3,1
72,National Championships Ethiopia - ITT 2014 ,Nationals.C3.TT,1
73,National Championships Angola - ITT 2014 ,-,1
74,National Championships Gabon - ITT 2014 ,Nationals.C3.TT,1
75,National Championships Rwanda - ITT 2014 ,Nationals.C3.TT,1
76,National Championships Zimbabwe - Road Race 2014 ,-,1
77,National Championships Burkina Faso - Road Race 2014 ,Nationals.C3,1
78,National Championships Ethiopia - Road Race 2014 ,Nationals.C3.TT,1
79,National Championships Gabon - Road Race 2014 ,Nationals.C3,1
80,National Championships Mauritius - Road Race 2014 ,Nationals.C3,1
81,National Championships Rwanda - Road Race 2014 ,Nationals.C3,1
82,National Championships Uganda - Road Race 2014 ,-,1
83,National Championships Zimbabwe - ITT 2014 ,-,1
84,Grand Prix Chantal Biya 2014 ,2.2/U23,4
85,Tour of Rwanda 2014 ,2.2/U23,8
86,Dubai Tour 2014 ,2.1,4
87,Tour of Qatar 2014 ,2.HC,6
88,Tour of Oman 2014 ,2.HC,6
89,Le Tour de Langkawi 2014 ,2.HC,10
90,Tour de Taiwan 2014 ,2.1,5
91,The Maha Chackri Sirindhorn's Cup 'Tour of Thailand' 2014 ,2.2/U23,6
92,Le Tour de Filipinas 2014 ,2.2/U23,4
93,Melaka Chief Minister\'s Cup 2014 ,1.2,1
94,National Championships Iran - Road Race 2014 ,Nationals.C3,1
95,National Championships Iran - ITT 2014 ,Nationals.C3.TT,1
96,Tour of Japan 2014 ,2.1,6
97,Asian Cycling Championships - ITT 2014 ,UCI.Cont.Ch.TT,1
98,Asian Cycling Championships - c.l.m. ind. / ind. TT - MU 2014 ,E-CC.TT,1
99,Tour de Kumano 2014 ,2.2/U23,4
100,Asian Cycling Championships - en ligne / ind. road race - MU 2014 ,E-CC,1
101,Asian Cycling Championships - Road Race 2014 ,UCI.Cont.Ch,1
102,Tour of Singkarak 2014 ,2.2/U23,9
103,Tour de Korea 2014 ,2.1,8
104,National Championships Libanon - ITT 2014 ,-,1
105,Tour of Iran 2014 ,2.1,6
106,National Championships Indonesia - Road Race 2014 ,-,1
107,National Championships Israel - ITT 2014 ,Nationals.C3.TT,1
108,National Championships Syria WE - Road Race 2014 ,-,1
109,National Championships Kazakhstan - ITT 2014 ,Nationals.C3.TT,1
110,National Championships Albania - ITT 2014 ,-,1
111,National Championships Japan - ITT 2014 ,Nationals.C3.TT,1
112,National Championships South Korea - Road Race 2014 ,Nationals.C3,1
113,National Championships Japan U23 - ITT 2014 ,-,1
114,National Championships Hongkong - ITT 2014 ,Nationals.C3.TT,1
115,National Championships Thailand - ITT 2014 ,Nationals.C3.TT,1
116,National Championships Uzbekistan - ITT 2014 ,Nationals.C3.TT,1
117,National Championships Hongkong U23 - ITT 2014 ,-,1
118,National Championships Japan U23 - Road Race 2014 ,-,1
119,National Championships Uzbekistan U23 - ITT 2014 ,-,1
120,National Championships Hongkong - Road Race 2014 ,Nationals.C3,1
121,National Championships Japan - Road Race 2014 ,Nationals.C3,1
122,National Championships Kazakhstan - Road Race 2014 ,Nationals.C3,1
123,National Championships Thailand - Road Race 2014 ,Nationals.C3,1
124,National Championships Uzbekistan - Road Race 2014 ,Nationals.C3,1
125,Tour of Qinghai Lake 2014 ,2.HC,13
126,National Championships Mongolia - ITT 2014 ,Nationals.C3.TT,1
127,National Championships Mongolia - Road Race 2014 ,Nationals.C3,1
128,National Championships China - ITT 2014 ,Nationals.C3.TT,1
129,National Championships China - Road Race 2014 ,Nationals.C3,1
130,Tour of China I 2014 ,2.1,7
131,Tour of East Java 2014 ,2.2/U23,2
132,Tour of China II 2014 ,2.1,5
133,Tour de Hokkaido 2014 ,2.2/U23,3
134,Tour of Almaty 2014 ,1.1,1
135,International Tour de Banyuwangi Ijen 2014 ,2.2/U23,4
136,Japan Cup Cycle Road Race 2014 ,1.HC,1
137,Tour of Hainan 2014 ,2.HC,9
138,Tour of Taihu Lake 2014 ,2.1,9
139,Tour de Okinawa 2014 ,1.2,1
140,Tour of Yancheng Costal Wetlands 2014 ,1.2,1
141,Tour of Fuzhou 2014 ,2.2/U23,3
142,National Championships Taiwan - Road Race 2014 ,Nationals.C3,1
143,Sharjah Tour 2014 ,2.2/U23,4
144,Jelajah Malaysia 2014 ,2.2/U23,5
145,Tour of Al Zubarah 2014 ,2.2/U23,4
146,National Championships India - ITT 2014 ,Nationals.C3.TT,1
147,National Championships India - Road Race 2014 ,Nationals.C3,1
148,Gran Premio Costa degli Etruschi - Alta Maremma 2014 ,1.1,1
149,Grand Prix Cycliste la Marseillaise 2014 ,1.1,1
150,Etoile de Bessèges 2014 ,2.1,5
151,Trofeo Palma 2014 ,1.1,1
152,Trofeo Ses Salines 2014 ,1.1,1
153,Trofeo Serra de Tramuntana 2014 ,1.1,1
154,Trofeo Platja de Muro 2014 ,1.1,1
155,Tour Méditerranéen Cycliste Professionnel 2014 ,2.1,5
156,Volta ao Algarve 2014 ,2.1,5
157,Vuelta a Andalucia Ruta Ciclista Del Sol 2014 ,2.1,5
158,Trofeo Laigueglia 2014 ,1.1,1
159,Tour Cycliste International du Haut Var Matin 2014 ,2.1,2
160,GP Izola - Butan plin 2014 ,1.2,1
161,Omloop Het Nieuwsblad Elite 2014 ,1.HC,1
162,Classic Sud Ardèche - Souvenir Francis Delpech 2014 ,1.1,1
163,Vuelta Ciclista a Murcia 2014 ,1.1,1
164,Clasica de Almeria 2014 ,1.1,1
165,G.P. Città di Lugano 2014 ,1.1,1
166,Kuurne-Bruxelles-Kuurne 2014 ,1.1,1
167,Valence Drôme Classic 2014 ,1.1,1
168,Le Samyn 2014 ,1.1,1
169,Trofej Umag - Umag Trophy 2014 ,1.2,1
170,G.P. Camaiore 2014 ,1.1,1
171,Driedaagse van West-Vlaanderen 2014 ,2.1,3
172,Strade Bianche 2014 ,1.1,1
173,Ster van Zwolle 2014 ,1.2,1
174,Roma Maxima 2014 ,1.1,1
175,Grand Prix de la Ville de Lillers Souvenir Bruno Comini 2014 ,1.2,1
176,Porec Trophy - Trofej Porec 2014 ,1.2,1
177,Rabobank Dorpenomloop Rucphen 2014 ,1.2,1
178,Istarsko proljece - Istrian Spring Trophy 2014 ,2.2/U23,4
179,Albert Achterhes Pet Ronde van Drenthe 2014 ,1.1,1
180,Energiewacht Dwars door Drenthe 2014 ,1.1,1
181,Omloop van het Waasland 2014 ,1.2,1
182,Paris-Troyes 2014 ,1.2,1
183,Nokere Koerse - Danilith Classic 2014 ,1.1,1
184,GP Nobili Rubinetterie-Coppa Papà Carlo-Coppa Città di Stresa 2014 ,1.1,1
185,Handzame Classic 2014 ,1.1,1
186,Classic Loire Atlantique 2014 ,1.1,1
187,Cholet - Pays De Loire 2014 ,1.1,1
188,Tour de Normandie 2014 ,2.2/U23,7
189,Dwars door Vlaanderen / A travers la Flandre 2014 ,1.HC,1
190,Volta ao Alentejo/Crédito Agricola Costa Azul 2014 ,2.2/U23,5
191,Settimana Internazionale Coppi e Bartali 2014 ,2.1,5
192,Critérium International 2014 ,2.HC,3
193,VDK-Driedaagse De Panne-Koksijde 2014 ,2.HC,4
194,Grand Prix of Sochi 2014 ,2.2/U23,6
195,Route Adélie de Vitré 2014 ,1.1,1
196,Le Triptyque des Monts et Châteaux 2014 ,2.2/U23,4
197,Gran Premio Miguel Indurain 2014 ,1.1,1
198,Volta Limburg Classic 2014 ,1.1,1
199,Vuelta Ciclista a La Rioja 2014 ,1.1,1
200,Trofeo PIVA Banca Popolare di Vicenza 2014 ,1.2,1
201,Circuit Cycliste Sarthe - Pays de la Loire 2014 ,2.1,5
202,Scheldeprijs 2014 ,1.HC,1
203,Circuit des Ardennes International 2014 ,2.2/U23,4
204,Grand Prix Cerami 2014 ,1.1,1
205,Banja Luka Belgrade I 2014 ,1.2,1
206,Ronde van Vlaanderen Beloften 2014 ,E-1.Ncup,1
207,Trofeo Edil C 2014 ,1.2,1
208,Klasika Primavera de Amorebieta 2014 ,1.1,1
209,Banja Luka-Belgrade II 2014 ,1.2,1
210,Paris-Camembert 2014 ,1.1,1
211,De Brabantse Pijl - La Flèche Brabançonne 2014 ,1.HC,1
212,Grand Prix of Adygeya 2014 ,2.2/U23,5
213,La Côte Picarde 2014 ,E-1.Ncup,1
214,Tour du Loir et Cher E Provost 2014 ,2.2/U23,5
215,GP de Denain Porte du Hainaut 2014 ,1.1,1
216,Tour du Finistère 2014 ,1.1,1
217,Arno Wallaard Memorial 2014 ,1.2,1
218,Liège - Bastogne - Liège 2014 ,E-1.Ncup,1
219,ZLM tour 2014 ,E-1.Ncup,1
220,Tro-Bro Léon 2014 ,1.1,1
221,Rund um Köln 2014 ,1.1,1
222,Giro del Belvedere 2014 ,1.2,1
223,Giro del Trentino 2014 ,2.HC,4
224,G.P. Palio del Recioto 2014 ,1.2,1
225,Gran Premio della Liberazione 2014 ,1.2,1
226,Le Tour de Bretagne Cycliste trophée harmonie Mutuelle 2014 ,2.2/U23,7
227,ZODC Zuidenveld Tour 2014 ,1.2,1
228,Zuid Oost Drenthe Classic I 2014 ,1.2,1
229,Presidential Cycling Tour of Turkey 2014 ,2.HC,8
230,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux 2014 ,1.1,1
231,Gran Premio Industrie del Marmo 2014 ,1.2,1
232,Paris - Mantes-en-Yvelines 2014 ,1.2,1
233,Rutland - Melton International CiCLE Classic 2014 ,1.2,1
234,Carpathian Couriers Race U-23 2014 ,2.2/U23,6
